>> roxford5k: mAP E: 64.03, M: 48.39, H: 23.22
>> roxford5k: mP@k[1, 5, 10] E: [88.24 76.47 71.76], M: [87.14 75.43 69.86], H: [54.29 36.93 31.64]
>> rparis6k: mAP E: 79.97, M: 61.96, H: 33.31
>> rparis6k: mP@k[1, 5, 10] E: [97.14 94.57 93.29], M: [97.14 96.57 96.29], H: [85.71 80.   75.  ]
>> Train: [1][1/2000]	Time 1.258 (1.258)	Data 0.744 (0.744)	Loss 0.1419 (0.1419)
>> Train: [1][340/2000]	Time 0.103 (0.097)	Data 0.000 (0.002)	Loss 0.0964 (0.1663)
>> Train: [1][350/2000]	Time 0.097 (0.097)	Data 0.000 (0.002)	Loss 0.0965 (0.1674)
>> Train: [1][360/2000]	Time 0.096 (0.097)	Data 0.000 (0.002)	Loss 0.2883 (0.1671)
>> Train: [1][370/2000]	Time 0.093 (0.097)	Data 0.000 (0.002)	Loss 0.1860 (0.1668)
>> Train: [1][380/2000]	Time 0.097 (0.097)	Data 0.000 (0.002)	Loss 0.2128 (0.1669)
>> Train: [1][390/2000]	Time 0.083 (0.097)	Data 0.000 (0.002)	Loss 0.1317 (0.1674)
>> Train: [1][400/2000]	Time 0.085 (0.097)	Data 0.000 (0.002)	Loss 0.0748 (0.1668)
>> Train: [1][410/2000]	Time 0.092 (0.097)	Data 0.000 (0.002)	Loss 0.0692 (0.1666)
>> Train: [1][420/2000]	Time 0.084 (0.097)	Data 0.000 (0.002)	Loss 0.1604 (0.1672)
>> Train: [1][430/2000]	Time 0.107 (0.097)	Data 0.000 (0.002)	Loss 0.1628 (0.1668)
>> Train: [1][440/2000]	Time 0.097 (0.097)	Data 0.000 (0.002)	Loss 0.1281 (0.1670)
>> Train: [1][450/2000]	Time 0.088 (0.097)	Data 0.000 (0.002)	Loss 0.2113 (0.1674)
>> Train: [1][460/2000]	Time 0.095 (0.097)	Data 0.000 (0.002)	Loss 0.1485 (0.1666)
>> Train: [1][470/2000]	Time 0.093 (0.097)	Data 0.000 (0.002)	Loss 0.1613 (0.1665)
>> Train: [1][480/2000]	Time 0.099 (0.097)	Data 0.000 (0.002)	Loss 0.2070 (0.1667)
>> Train: [1][490/2000]	Time 0.077 (0.097)	Data 0.000 (0.002)	Loss 0.1598 (0.1660)
>> Train: [1][500/2000]	Time 0.089 (0.097)	Data 0.000 (0.002)	Loss 0.1149 (0.1655)
>> Train: [1][510/2000]	Time 0.099 (0.096)	Data 0.001 (0.002)	Loss 0.1255 (0.1652)
>> Train: [1][520/2000]	Time 0.088 (0.096)	Data 0.000 (0.002)	Loss 0.0964 (0.1653)
>> Train: [1][530/2000]	Time 0.104 (0.096)	Data 0.000 (0.002)	Loss 0.1710 (0.1654)
>> Train: [1][540/2000]	Time 0.111 (0.096)	Data 0.000 (0.002)	Loss 0.3172 (0.1661)
>> Train: [1][550/2000]	Time 0.095 (0.096)	Data 0.000 (0.002)	Loss 0.0419 (0.1669)
>> Train: [1][560/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1741 (0.1670)
>> Train: [1][570/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.2076 (0.1669)
>> Train: [1][580/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1665 (0.1670)
>> Train: [1][590/2000]	Time 0.087 (0.096)	Data 0.000 (0.001)	Loss 0.1181 (0.1671)
>> Train: [1][600/2000]	Time 0.090 (0.096)	Data 0.000 (0.001)	Loss 0.1482 (0.1672)
>> Train: [1][610/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.1515 (0.1669)
>> Train: [1][620/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1449 (0.1667)
>> Train: [1][630/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.0631 (0.1663)
>> Train: [1][640/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.1230 (0.1662)
>> Train: [1][650/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.3651 (0.1664)
>> Train: [1][660/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.2213 (0.1670)
>> Train: [1][670/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.1274 (0.1673)
>> Train: [1][680/2000]	Time 0.089 (0.096)	Data 0.000 (0.001)	Loss 0.1925 (0.1672)
>> Train: [1][690/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.2197 (0.1673)
>> Train: [1][700/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.0981 (0.1674)
>> Train: [1][710/2000]	Time 0.085 (0.096)	Data 0.000 (0.001)	Loss 0.2286 (0.1679)
>> Train: [1][720/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.1257 (0.1679)
>> Train: [1][730/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.2552 (0.1677)
>> Train: [1][740/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.1326 (0.1678)
>> Train: [1][750/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.3097 (0.1683)
>> Train: [1][760/2000]	Time 0.098 (0.096)	Data 0.000 (0.001)	Loss 0.2329 (0.1680)
>> Train: [1][770/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.0733 (0.1675)
>> Train: [1][780/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.2554 (0.1673)
>> Train: [1][790/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.2550 (0.1673)
>> Train: [1][800/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.0603 (0.1672)
>> Train: [1][810/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.2687 (0.1674)
>> Train: [1][820/2000]	Time 0.086 (0.096)	Data 0.000 (0.001)	Loss 0.2892 (0.1672)
>> Train: [1][830/2000]	Time 0.101 (0.096)	Data 0.000 (0.001)	Loss 0.1429 (0.1673)
>> Train: [1][840/2000]	Time 0.101 (0.096)	Data 0.000 (0.001)	Loss 0.1776 (0.1670)
>> Train: [1][850/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.1429 (0.1673)
>> Train: [1][860/2000]	Time 0.090 (0.096)	Data 0.000 (0.001)	Loss 0.1366 (0.1676)
>> Train: [1][870/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.1679 (0.1678)
>> Train: [1][880/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.2149 (0.1678)
>> Train: [1][890/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.2440 (0.1680)
>> Train: [1][900/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.0462 (0.1679)
>> Train: [1][910/2000]	Time 0.084 (0.096)	Data 0.000 (0.001)	Loss 0.2502 (0.1681)
>> Train: [1][920/2000]	Time 0.112 (0.096)	Data 0.000 (0.001)	Loss 0.1183 (0.1675)
>> Train: [1][930/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.0802 (0.1674)
>> Train: [1][940/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1382 (0.1671)
>> Train: [1][950/2000]	Time 0.089 (0.096)	Data 0.000 (0.001)	Loss 0.1480 (0.1666)
>> Train: [1][960/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1487 (0.1670)
>> Train: [1][970/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.2878 (0.1676)
>> Train: [1][980/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.2219 (0.1675)
>> Train: [1][990/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.3515 (0.1679)
>> Train: [1][1000/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1278 (0.1678)
>> Train: [1][1010/2000]	Time 0.098 (0.096)	Data 0.000 (0.001)	Loss 0.0999 (0.1675)
>> Train: [1][1020/2000]	Time 0.084 (0.096)	Data 0.000 (0.001)	Loss 0.1792 (0.1680)
>> Train: [1][1030/2000]	Time 0.079 (0.096)	Data 0.000 (0.001)	Loss 0.1919 (0.1683)
>> Train: [1][1040/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.1936 (0.1682)
>> Train: [1][1050/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.1282 (0.1679)
>> Train: [1][1060/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.0378 (0.1680)
>> Train: [1][1070/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1845 (0.1678)
>> Train: [1][1080/2000]	Time 0.073 (0.096)	Data 0.000 (0.001)	Loss 0.0890 (0.1677)
>> Train: [1][1090/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.0954 (0.1676)
>> Train: [1][1100/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.1058 (0.1679)
>> Train: [1][1110/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.1855 (0.1677)
>> Train: [1][1120/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.1231 (0.1675)
>> Train: [1][1130/2000]	Time 0.085 (0.096)	Data 0.000 (0.001)	Loss 0.1160 (0.1671)
>> Train: [1][1140/2000]	Time 0.064 (0.096)	Data 0.000 (0.001)	Loss 0.1296 (0.1669)
>> Train: [1][1150/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1175 (0.1669)
>> Train: [1][1160/2000]	Time 0.085 (0.096)	Data 0.000 (0.001)	Loss 0.0958 (0.1669)
>> Train: [1][1170/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.0405 (0.1667)
>> Train: [1][1180/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.2528 (0.1667)
>> Train: [1][1190/2000]	Time 0.073 (0.096)	Data 0.000 (0.001)	Loss 0.1698 (0.1668)
>> Train: [1][1200/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.1405 (0.1670)
>> Train: [1][1210/2000]	Time 0.101 (0.096)	Data 0.000 (0.001)	Loss 0.0415 (0.1670)
>> Train: [1][1220/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.0775 (0.1672)
>> Train: [1][1230/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.1540 (0.1673)
>> Train: [1][1240/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1525 (0.1674)
>> Train: [1][1250/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.2390 (0.1673)
>> Train: [1][1260/2000]	Time 0.098 (0.096)	Data 0.000 (0.001)	Loss 0.1174 (0.1671)
>> Train: [1][1270/2000]	Time 0.093 (0.096)	Data 0.000 (0.001)	Loss 0.0782 (0.1674)
>> Train: [1][1280/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1003 (0.1672)
>> Train: [1][1290/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.2841 (0.1672)
>> Train: [1][1300/2000]	Time 0.082 (0.096)	Data 0.000 (0.001)	Loss 0.2922 (0.1674)
>> Train: [1][1310/2000]	Time 0.101 (0.096)	Data 0.000 (0.001)	Loss 0.0632 (0.1671)
>> Train: [1][1320/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.2664 (0.1676)
>> Train: [1][1330/2000]	Time 0.112 (0.096)	Data 0.000 (0.001)	Loss 0.0724 (0.1674)
>> Train: [1][1340/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1054 (0.1674)
>> Train: [1][1350/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.1498 (0.1674)
>> Train: [1][1360/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.0441 (0.1671)
>> Train: [1][1370/2000]	Time 0.087 (0.096)	Data 0.000 (0.001)	Loss 0.0839 (0.1672)
>> Train: [1][1380/2000]	Time 0.101 (0.096)	Data 0.000 (0.001)	Loss 0.3383 (0.1673)
>> Train: [1][1390/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.0772 (0.1674)
>> Train: [1][1400/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.0499 (0.1676)
>> Train: [1][1410/2000]	Time 0.086 (0.096)	Data 0.000 (0.001)	Loss 0.1071 (0.1674)
>> Train: [1][1420/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.0833 (0.1676)
>> Train: [1][1430/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1374 (0.1677)
>> Train: [1][1440/2000]	Time 0.084 (0.096)	Data 0.000 (0.001)	Loss 0.2936 (0.1678)
>> Train: [1][1450/2000]	Time 0.110 (0.096)	Data 0.000 (0.001)	Loss 0.0949 (0.1677)
>> Train: [1][1460/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.0927 (0.1673)
>> Train: [1][1470/2000]	Time 0.087 (0.096)	Data 0.000 (0.001)	Loss 0.2636 (0.1674)
>> Train: [1][1480/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.0703 (0.1671)
>> Train: [1][1490/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.1584 (0.1671)
>> Train: [1][1500/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.1090 (0.1670)
>> Train: [1][1510/2000]	Time 0.097 (0.096)	Data 0.000 (0.001)	Loss 0.0921 (0.1667)
>> Train: [1][1520/2000]	Time 0.102 (0.096)	Data 0.000 (0.001)	Loss 0.1004 (0.1665)
>> Train: [1][1530/2000]	Time 0.089 (0.096)	Data 0.000 (0.001)	Loss 0.0871 (0.1665)
>> Train: [1][1540/2000]	Time 0.095 (0.096)	Data 0.000 (0.001)	Loss 0.1942 (0.1664)
>> Train: [1][1550/2000]	Time 0.080 (0.096)	Data 0.000 (0.001)	Loss 0.0457 (0.1666)
>> Train: [1][1560/2000]	Time 0.084 (0.096)	Data 0.000 (0.001)	Loss 0.1241 (0.1665)
>> Train: [1][1570/2000]	Time 0.081 (0.096)	Data 0.000 (0.001)	Loss 0.2274 (0.1665)
>> Train: [1][1580/2000]	Time 0.081 (0.096)	Data 0.000 (0.001)	Loss 0.1433 (0.1663)
>> Train: [1][1590/2000]	Time 0.080 (0.096)	Data 0.000 (0.001)	Loss 0.1389 (0.1661)
>> Train: [1][1600/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.0289 (0.1659)
>> Train: [1][1610/2000]	Time 0.111 (0.096)	Data 0.000 (0.001)	Loss 0.0980 (0.1657)
>> Train: [1][1620/2000]	Time 0.082 (0.096)	Data 0.000 (0.001)	Loss 0.1095 (0.1660)
>> Train: [1][1630/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.1787 (0.1658)
>> Train: [1][1640/2000]	Time 0.110 (0.096)	Data 0.000 (0.001)	Loss 0.3154 (0.1659)
>> Train: [1][1650/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.0897 (0.1658)
>> Train: [1][1660/2000]	Time 0.094 (0.096)	Data 0.000 (0.001)	Loss 0.2105 (0.1658)
>> Train: [1][1670/2000]	Time 0.084 (0.096)	Data 0.000 (0.001)	Loss 0.3014 (0.1660)
>> Train: [1][1680/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.1633 (0.1659)
>> Train: [1][1690/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1220 (0.1661)
>> Train: [1][1700/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.0391 (0.1662)
>> Train: [1][1710/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.1064 (0.1659)
>> Train: [1][1720/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.0865 (0.1662)
>> Train: [1][1730/2000]	Time 0.080 (0.096)	Data 0.000 (0.001)	Loss 0.3268 (0.1662)
>> Train: [1][1740/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.1949 (0.1662)
>> Train: [1][1750/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.1187 (0.1664)
>> Train: [1][1760/2000]	Time 0.086 (0.096)	Data 0.000 (0.001)	Loss 0.1727 (0.1663)
>> Train: [1][1770/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.2170 (0.1663)
>> Train: [1][1780/2000]	Time 0.083 (0.096)	Data 0.000 (0.001)	Loss 0.1518 (0.1662)
>> Train: [1][1790/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.1384 (0.1663)
>> Train: [1][1800/2000]	Time 0.109 (0.096)	Data 0.000 (0.001)	Loss 0.1673 (0.1663)
>> Train: [1][1810/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.1320 (0.1663)
>> Train: [1][1820/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.0843 (0.1665)
>> Train: [1][1830/2000]	Time 0.092 (0.096)	Data 0.000 (0.001)	Loss 0.0877 (0.1665)
>> Train: [1][1840/2000]	Time 0.108 (0.096)	Data 0.000 (0.001)	Loss 0.1648 (0.1662)
>> Train: [1][1850/2000]	Time 0.108 (0.096)	Data 0.000 (0.001)	Loss 0.1384 (0.1663)
>> Train: [1][1860/2000]	Time 0.108 (0.096)	Data 0.000 (0.001)	Loss 0.1708 (0.1661)
>> Train: [1][1870/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.0787 (0.1659)
>> Train: [1][1880/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.0605 (0.1659)
>> Train: [1][1890/2000]	Time 0.100 (0.096)	Data 0.000 (0.001)	Loss 0.1816 (0.1659)
>> Train: [1][1900/2000]	Time 0.086 (0.096)	Data 0.000 (0.001)	Loss 0.1198 (0.1659)
>> Train: [1][1910/2000]	Time 0.103 (0.096)	Data 0.000 (0.001)	Loss 0.1776 (0.1659)
>> Train: [1][1920/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.2814 (0.1659)
>> Train: [1][1930/2000]	Time 0.096 (0.096)	Data 0.000 (0.001)	Loss 0.1011 (0.1657)
>> Train: [1][1940/2000]	Time 0.099 (0.096)	Data 0.000 (0.001)	Loss 0.2661 (0.1659)
>> Train: [1][1950/2000]	Time 0.091 (0.096)	Data 0.000 (0.001)	Loss 0.1677 (0.1659)
>> Train: [1][1960/2000]	Time 0.076 (0.096)	Data 0.000 (0.001)	Loss 0.0773 (0.1657)
>> Train: [1][1970/2000]	Time 0.109 (0.096)	Data 0.000 (0.001)	Loss 0.1824 (0.1656)
>> Train: [1][1980/2000]	Time 0.104 (0.096)	Data 0.000 (0.001)	Loss 0.1184 (0.1655)
>> Train: [1][1990/2000]	Time 0.088 (0.096)	Data 0.000 (0.001)	Loss 0.1609 (0.1655)
>> Train: [1][2000/2000]	Time 0.106 (0.096)	Data 0.000 (0.001)	Loss 0.2124 (0.1656)
>> Val: [1][1/1691]	Time 0.804 (0.804)	Loss 0.0875 (0.0875)
>> Val: [1][10/1691]	Time 0.034 (0.111)	Loss 0.2612 (0.1919)
>> Val: [1][20/1691]	Time 0.037 (0.072)	Loss 0.2035 (0.1834)
>> Val: [1][30/1691]	Time 0.024 (0.060)	Loss 0.2429 (0.1828)
>> Val: [1][40/1691]	Time 0.032 (0.053)	Loss 0.3399 (0.1857)
>> Val: [1][50/1691]	Time 0.034 (0.049)	Loss 0.0656 (0.1901)
>> Val: [1][60/1691]	Time 0.037 (0.047)	Loss 0.1411 (0.1926)
>> Val: [1][70/1691]	Time 0.031 (0.045)	Loss 0.2437 (0.1919)
>> Val: [1][80/1691]	Time 0.034 (0.043)	Loss 0.1541 (0.1871)
>> Val: [1][90/1691]	Time 0.031 (0.042)	Loss 0.1769 (0.1863)
>> Val: [1][100/1691]	Time 0.036 (0.041)	Loss 0.1583 (0.1849)
>> Val: [1][110/1691]	Time 0.034 (0.041)	Loss 0.0975 (0.1837)
>> Val: [1][120/1691]	Time 0.039 (0.040)	Loss 0.0993 (0.1854)
>> Val: [1][130/1691]	Time 0.028 (0.040)	Loss 0.2984 (0.1852)
>> Val: [1][140/1691]	Time 0.029 (0.039)	Loss 0.1432 (0.1829)
>> Val: [1][150/1691]	Time 0.034 (0.039)	Loss 0.1952 (0.1848)
>> Val: [1][160/1691]	Time 0.035 (0.038)	Loss 0.1518 (0.1825)
>> Val: [1][170/1691]	Time 0.032 (0.038)	Loss 0.4149 (0.1829)
>> Val: [1][180/1691]	Time 0.034 (0.038)	Loss 0.2341 (0.1818)
>> Val: [1][190/1691]	Time 0.031 (0.037)	Loss 0.0964 (0.1825)
>> Val: [1][200/1691]	Time 0.025 (0.037)	Loss 0.1976 (0.1810)
>> Val: [1][210/1691]	Time 0.033 (0.037)	Loss 0.1498 (0.1794)
>> Val: [1][220/1691]	Time 0.033 (0.037)	Loss 0.2313 (0.1797)
>> Val: [1][230/1691]	Time 0.035 (0.037)	Loss 0.1490 (0.1786)
>> Val: [1][240/1691]	Time 0.033 (0.037)	Loss 0.2774 (0.1776)
>> Val: [1][250/1691]	Time 0.029 (0.036)	Loss 0.1422 (0.1771)
>> Val: [1][260/1691]	Time 0.032 (0.036)	Loss 0.1571 (0.1767)
>> Val: [1][270/1691]	Time 0.032 (0.036)	Loss 0.4545 (0.1776)
>> Val: [1][280/1691]	Time 0.032 (0.036)	Loss 0.1941 (0.1787)
>> Val: [1][290/1691]	Time 0.033 (0.036)	Loss 0.0821 (0.1771)
>> Val: [1][300/1691]	Time 0.028 (0.036)	Loss 0.1311 (0.1778)
>> Val: [1][310/1691]	Time 0.032 (0.036)	Loss 0.3132 (0.1777)
>> Val: [1][320/1691]	Time 0.033 (0.036)	Loss 0.0995 (0.1775)
>> Val: [1][330/1691]	Time 0.025 (0.036)	Loss 0.2358 (0.1771)
>> Val: [1][340/1691]	Time 0.026 (0.035)	Loss 0.3409 (0.1785)
>> Val: [1][350/1691]	Time 0.030 (0.035)	Loss 0.1163 (0.1773)
>> Val: [1][360/1691]	Time 0.031 (0.035)	Loss 0.1486 (0.1774)
>> Val: [1][370/1691]	Time 0.034 (0.035)	Loss 0.1351 (0.1763)
>> Val: [1][380/1691]	Time 0.033 (0.035)	Loss 0.2119 (0.1761)
>> Val: [1][390/1691]	Time 0.036 (0.035)	Loss 0.1000 (0.1766)
>> Val: [1][400/1691]	Time 0.035 (0.035)	Loss 0.1395 (0.1765)
>> Val: [1][410/1691]	Time 0.035 (0.035)	Loss 0.0734 (0.1750)
>> Val: [1][420/1691]	Time 0.033 (0.035)	Loss 0.1570 (0.1751)
>> Val: [1][430/1691]	Time 0.034 (0.035)	Loss 0.1114 (0.1749)
>> Val: [1][440/1691]	Time 0.029 (0.035)	Loss 0.2342 (0.1747)
>> Val: [1][450/1691]	Time 0.033 (0.035)	Loss 0.1582 (0.1745)
>> Val: [1][460/1691]	Time 0.030 (0.035)	Loss 0.1405 (0.1744)
>> Val: [1][470/1691]	Time 0.034 (0.035)	Loss 0.1164 (0.1739)
>> Val: [1][480/1691]	Time 0.030 (0.035)	Loss 0.0984 (0.1734)
>> Val: [1][490/1691]	Time 0.036 (0.035)	Loss 0.1024 (0.1739)
